z	mB	err_mB
0.53578	22.98355	0.016027559999999996
0.73501	24.09175	0.0317730625
0.60987	23.5447	0.022096822500000002
0.70198	23.8387	0.027142562500000002
0.9833	24.78095	0.020448999999999995
0.75905	24.0557	0.0229977225
0.64364	23.6045	0.040521690000000006
0.51559	23.02365	0.031046439999999998
0.80569	24.0139	0.01692601
0.8007	23.82255	0.025792359999999997
0.71565	23.84395	0.037733062500000004
0.76668	24.2307	0.032616360000000004
0.90173	24.5128	0.022831210000000005
0.71868	23.68915	0.0227859025
0.5796	23.1779	0.01432809
0.96074	24.80925	0.020320502500000004
0.64864	23.53665	0.025281
0.93675	24.4717	0.019740250000000004
0.46156	22.76265	0.012354322499999999
0.67065	23.78495	0.03150625
0.24649	21.16055	0.011674802499999998
0.63822	23.49005	0.033856
0.53532	23.06945	0.0122877225
0.77307	24.17605	0.031064062499999996
0.3705	22.15255	0.010878490000000001
0.69916	23.88895	0.029859840000000002
0.3735	22.11185	0.010795210000000001
0.85298	24.3052	0.022740639999999996
0.60326	23.58805	0.02042041
0.53433	22.9223	0.01661521
0.40048	22.2601	0.01324801
0.3715	22.20135	0.0115455025
0.83999	24.0253	0.023028062499999998
0.53278	23.059	0.012961822500000001
0.93225	24.704	0.0441630225
0.55381	23.2838	0.015425640000000001
0.84214	24.3261	0.03452164
0.72767	23.8687	0.0391446225
0.44255	22.67285	0.012927689999999999
0.28251	21.5746	0.01151329
0.51961	23.03865	0.011881
1.0608	24.6873	0.026945222499999998
0.26849	21.24725	0.01104601
0.2505	21.1763	0.01240996
0.69816	23.7924	0.04713240999999999
0.73012	23.7684	0.0365383225
0.99781	24.6122	0.00908209
0.40946	22.451	0.011870102500000002
0.12679	19.5429	0.014316122500000002
0.25577	21.3344	0.033051239999999996
0.08859	18.64345	0.011246602500000001
0.11782	19.19345	0.00982081
0.18356	20.2951	0.016486559999999997
0.14055	19.871	0.013537322499999999
0.15171	19.7933	0.010660562499999998
0.094	18.889	0.010578122499999999
0.28631	21.6827	0.02262016
0.26318	21.3576	0.0204347025
0.14167	19.79675	0.01096209
0.16053	19.9329	0.01336336
0.1229	19.3948	0.0136072225
0.1262	19.36855	0.012769
0.17331	20.15345	0.009850562500000002
0.16448	20.03175	0.011728889999999999
0.16018	19.92285	0.0121992025
0.24488	20.86815	0.016848039999999998
0.24805	20.98175	0.0180499225
0.27511	21.37075	0.024040502499999998
0.33015	21.9321	0.025249210000000005
0.3307	21.82885	0.021933610000000003
0.1604	19.98615	0.012001202499999999
0.21861	20.87005	0.0180499225
0.12005	19.36835	0.010424409999999999
0.17818	20.72835	0.016537959999999997
0.279	21.50115	0.0175960225
0.18562	20.48365	0.016848039999999998
0.06641	17.9881	0.01285956
0.25769	21.2775	0.020406122500000002
0.27946	21.2773	0.019544040000000002
0.2655	21.0609	0.01692601
0.18478	20.37525	0.011151359999999999
0.05715	17.65695	0.011491840000000001
0.32601	21.6733	0.02143296
0.10902	19.1721	0.010578122499999999
0.20299	20.7001	0.019099239999999996
0.37949	22.13745	0.019460250000000005
0.21198	20.68915	0.0151167025
0.21327	20.78295	0.018604959999999997
0.14393	19.83575	0.012769
0.25218	21.1678	0.025904902500000004
0.25641	21.2758	0.03059001
0.2186	20.976	0.028392250000000004
0.07883	18.5397	0.014896202500000002
0.08328	18.7438	0.0134676025
0.17008	20.2489	0.011448999999999999
0.23643	20.87655	0.020520562499999995
0.30538	21.3803	0.0390655225
0.08286	18.5179	0.01113025
0.18905	20.2039	0.01408969
0.08162	18.511	0.0108680625
0.25626	21.2564	0.026066102500000004
0.12631	19.58525	0.018184522499999998
0.1028	19.16175	0.020822490000000003
0.1244	19.4784	0.010120359999999998
0.37003	22.46065	0.026764959999999997
0.20192	20.38595	0.0131675625
0.18004	20.68245	0.020549222500000002
0.16163	20.1359	0.01687401
0.22644	20.8771	0.019880999999999996
0.29649	21.4449	0.020909160000000003
0.24999	21.20115	0.0177023025
0.14864	19.91815	0.011299690000000001
0.14711	19.776	0.010681222499999999
0.2149	21.20185	0.021992889999999998
0.14462	19.8106	0.0195021225
0.13226	19.9293	0.01776889
0.2195	21.00055	0.01811716
0.38447	22.40575	0.0223353025
0.1742	20.3461	0.01243225
0.17772	20.20345	0.014981759999999998
0.29911	21.51975	0.01692601
0.1187	19.44875	0.017929209999999998
0.17685	20.2397	0.011236
0.24526	21.3752	0.035419240000000005
0.1959	20.54825	0.0142444225
0.24832	21.09655	0.01758276
0.30617	21.77705	0.026033822499999998
0.24616	21.1569	0.0170433025
0.13527	19.9671	0.012882250000000001
0.21028	20.6402	0.01782225
0.23603	21.1547	0.015165922499999998
0.17831	20.37535	0.01285956
0.22043	20.81795	0.0238548025
0.31468	21.8201	0.024711840000000002
0.1846	20.55175	0.01249924
0.2611	21.2036	0.019223822499999998
0.18122	20.21145	0.0110986225
0.38003	22.03255	0.022680360000000004
0.1846	20.38765	0.01170724
0.20824	20.65465	0.0145805625
0.17746	20.33625	0.016653902499999998
0.31555	21.7168	0.023577602499999996
0.24954	21.1676	0.01555009
0.20324	20.6509	0.0142922025
0.12347	19.4198	0.010578122499999999
0.20314	20.64385	0.0144841225
0.15352	20.1226	0.0110145025
0.33398	21.9349	0.02534464
0.19582	20.5286	0.01324801
0.24943	21.0769	0.0208658025
0.1549	20.0251	0.011299690000000001
0.15625	19.98785	0.015863402500000002
0.15819	19.81685	0.0153140625
0.309	21.8114	0.0387499225
0.24828	21.1261	0.01926544
0.18484	20.31575	0.01525225
0.18353	20.5074	0.01555009
0.18212	20.37965	0.018947522499999998
0.17675	20.28545	0.016641
0.17748	20.0718	0.0146773225
0.0718	18.0121	0.015725160000000002
0.13796	19.66285	0.0109725625
0.16941	20.46515	0.01734489
0.24527	20.7198	0.021623702499999994
0.14406	19.81665	0.0109935225
0.25163	21.2338	0.021374439999999998
0.03743	16.7708	0.01359556
0.27716	21.8807	0.04223025
0.28712	21.2668	0.022230810000000004
0.19845	20.61015	0.019307102499999996
0.16031	20.07605	0.016641
0.21053	21.0136	0.022725562499999998
0.23753	21.0147	0.01731856
0.15499	20.14265	0.0139122025
0.0939	18.94955	0.0223353025
0.15253	20.08555	0.0128936025
0.25693	21.2741	0.020909160000000003
0.21231	20.80065	0.01697809
0.24583	20.88445	0.0171217225
0.13679	19.76485	0.0122655625
0.32529	21.9051	0.03272481
0.10643	19.09035	0.0104960025
0.4008	22.30585	0.025664040000000003
0.1891	20.4864	0.016991122499999997
0.19731	20.4352	0.012588839999999999
0.12783	19.5616	0.017424000000000002
0.12291	19.44025	0.01067089
